0 torch.Size([1, 64, 128]) tensor([-0.0019, -0.0144, -0.0749])
1 torch.Size([1, 64, 128]) tensor([-0.0259,  0.0746, -0.3472])
2 torch.Size([1, 64, 128]) tensor([-0.0187, -0.0457, -0.1762])
3 torch.Size([1, 64, 128]) tensor([ 0.0218,  0.1174, -0.1455])
0 torch.Size([1, 64, 128]) tensor([ 0.0911, -0.0039, -0.0734])
1 torch.Size([1, 64, 128]) tensor([ 0.0545, -0.2507, -0.0592])
2 torch.Size([1, 64, 128]) tensor([ 0.0764,  0.0289, -0.1098])
3 torch.Size([1, 64, 128]) tensor([ 0.0311,  0.0593, -0.1233])
0 torch.Size([1, 64, 128]) tensor([0.1756, 0.0163, 0.0761])
1 torch.Size([1, 64, 128]) tensor([ 0.2552, -0.2051,  0.0684])
2 torch.Size([1, 64, 128]) tensor([-0.0585,  0.0646, -0.0711])
3 torch.Size([1, 64, 128]) tensor([ 0.0975, -0.1205,  0.0026])
0 torch.Size([1, 64, 128]) tensor([ 0.1827, -0.0177,  0.1248])
1 torch.Size([1, 64, 128]) tensor([ 0.3035, -0.2505,  0.0141])
2 torch.Size([1, 64, 128]) tensor([ 0.2606, -0.2416,  0.1020])
3 torch.Size([1, 64, 128]) tensor([-0.1614, -0.0013, -0.0845])
0 torch.Size([1, 64, 128]) tensor([ 0.0427, -0.0759, -0.0221])
1 torch.Size([1, 64, 128]) tensor([ 0.1280, -0.0514, -0.1973])
2 torch.Size([1, 64, 128]) tensor([-0.1439,  0.0374, -0.2059])
3 torch.Size([1, 64, 128]) tensor([-0.0599,  0.1717, -0.1995])
0 torch.Size([1, 64, 128]) tensor([ 0.0331, -0.0465,  0.0475])
1 torch.Size([1, 64, 128]) tensor([ 0.1438,  0.0124, -0.2503])
2 torch.Size([1, 64, 128]) tensor([-0.0385,  0.1710, -0.0728])
3 torch.Size([1, 64, 128]) tensor([-0.0930,  0.1726, -0.1315])
